password,strength,bcrypt_hash,rounds,time_ms
&_Cf5%QYD-Kfc;YGl(Pht#S@LZ,4,$2b$10$BD4YxXwr8QGgTdU6YTuKIeUSUHhpOOYn5kPGVKGmMzXAOS1yyDJ0C,10,77.85
"w}[i9wI^P2/p7""zUx`%|HXbtyN",4,$2b$10$ABnpXa0jWiApDOL8zTPizev8HP.ZG6Ztzschr72COlZ/DgWRoVuzu,10,78.239
"ASCvo\u*-CIkI;'/vh""W*3Y[|(q",4,$2b$10$s2gAgTeMmeKbAHRL9vZsbuc3Bk581tOWUwRWa3YVKzATinJ3tJ7PS,10,66.969
"m2(:$^dV/fK""XoVe8EgkLY)EL2Jc9",4,$2b$10$ENtt8V0ylRQ7TlA2Gl5jw.ok/sJkwvr9oipGkXTkHuyAl2Nng963m,10,66.814
tbbgBy-^]ModHw#1,4,$2b$10$/U0iaiMyVdu0TsCXxmOoZeniR1YOffEjoa8twqtMIhrFgn9VGZ9Ne,10,67.198
"_d""OKY2@[""|%`B=_1hGhmQ",4,$2b$10$cujA2PTYsg47Up70lCCf/.GxN7FXCMba60FBDMZL6wDeurc3D7LyG,10,71.947
OQ!+9K(q+*n5$p-TW=.r7lm9qa}2QTVo,4,$2b$10$sXKw3C85OQl4gTIRfmlWnudF7h3AIsAjAeHtff/U1IJRUi8is.k5q,10,69.238
"^p.FTy~-ix""%un2-{Pq8:(QNdb)beQpC",4,$2b$10$D.9.UFwl/o8sA91tSpeyW.b5l1d7s4L2zyCKM6jc2KeAA1H4LHrqS,10,69.761
c(ti8%1r(MyBe~M+nV@@{x}j.R+,4,$2b$10$n09tFlk6IqqIpP0gkPkSf.6TnrSis/q04Z2UY9GVK9OAwVaq.AYmS,10,81.909
meaWO.]88y1)}nv99~o$,4,$2b$10$dZUrhi8MFr3aDe8N8TlNDumiRX34zOmFguNwWw0.IZswnuONGZhNW,10,70.939
"Xc`rqwRD&S<mCBAw=K%3A9!,",4,$2b$10$rYj5SSzRMrbi62tjV0ldbOfP03z6AxQls5lt5lUo1ddL/DQ.Rp6bq,10,80.838
UpCX]UB{|@GK?H%B,4,$2b$10$W3hvrUP6SbLmXOaWN6zTOOBiV/FLpqt0sNAgSjNp.a82TUd1Pe2A.,10,64.457
"'I'""E[~>EX>I%&55{%lA",4,$2b$10$nG/V0L9QIlXzuJKirysyZuXB0bNtX5FqG1l9kZbfa8Y8urdxsAt9e,10,67.095
]JHi^!1*:xF|Z8i'q=%CC&7,4,$2b$10$PIAb6eMyg6P38a6zpE5yOO30JQHm.MC1zpLnRewU82IUrT8btkzXq,10,73.236
;YS*X)N?]yPMMu[8^MNlY.,4,$2b$10$ogy3kJfFXyO5dmVu7k.UY.KNdEmmT7hsRbAI4bo9R0yrIEE/5Q1Jq,10,70.564
9U*:^*}{`Hr=ZD&y<juAg8G,4,$2b$10$gU2lk8SBN3Fv6WzdrJNuxO0icTkAgNe02PwpOmuMpviTCHiZAKxz2,10,71.331
"Q&]-ewm}]~@mkO_2BF}xBo{vRn,",4,$2b$10$omo7z6cumRDw.t8czCVKr.QSkCsZ3yJ8pjIKLsxq5iflfx1dl/gT.,10,75.188
;`6[p24AzYt|w~fMvhbaO-)EkmoJgE,4,$2b$10$rfwL/4iaf/m36OxAX6WDMeP5kQxI3G6TtYroC7p9KT26A4i8R2Or2,10,67.472
l/9N#%@C_'r~rA0!PZ`nJ2A,4,$2b$10$Hq0ONV4.dY2QCEcwDVTwGOFjMPaNW/1xGtcUI8N3II/I27YuSLQke,10,61.164
"q_+UvbHsY*y[q""&|2k",4,$2b$10$aHuj5DDTXbYpU/RewlIOsOvpx3qCvBmBNu2H7MZ.B/FEAp/DrgHCC,10,65.48
Vp-eDlh~vjI$rR;a!&}77RB,4,$2b$10$m9WLaU3FA8G0sOfTv14Vt.H1Jdv6PAxC.PCwAoIczoBoGAZ1xPnwy,10,72.841
o;##{y<b`Rcr>d1isKi.iR;SsYA,4,$2b$10$BFgwF3kzZWIw9nmyO.v.kuWyEFWOHWexi4eai.mWHIkolVGhRTGE.,10,82.094
"""LB*ek<0I2tv=7Atm+l%R.$\:a>",4,$2b$10$yqXTMvpIcTmgRNkfg2aTWu.pRXx4jAElKO8eCZP1NGPRxy3uGxBRm,10,71.278
"sv+C&P.\k>D92f#_o*l^-,J*~&%tzN&z",4,$2b$10$kopNSRG0a//ZZj6dLHbTm.eydiCStZitl6BDPgBVdOSk1jNnvZrMa,10,68.165
P:/e)0b:DAJi:S~0_Of,4,$2b$10$tu4PJlgKkbjifOC5P8tnae2bcMFGj2XpVy9ROL97N4SR6V8RM6RDy,10,70.18
q5_MT\#QN2\[JBD/rozByDk+@xh.<&u0,4,$2b$10$JTgfOti7nEnpYdUF1pbfjuwEqHroy6BrvBbmm6CIl2mMoG3N17wh.,10,67.764
EhOZT|8Cbj>5sLYigl4xli0Bu}'4SKJ+,4,$2b$10$meltcYRPm5joXCaFzn78CeDSJlDc5UWJVdSb0J6Z8/ylWUyEXkN8m,10,84.026
%BONhJP<zsN{\1wan5qH%'3'@9[:]N,4,$2b$10$bH6mjahv4LTCSMkB8GkvAOzBi9T0jWgZP.uJ2hGz.o0nu1TCP5/zC,10,78.841
"$-:=il8N#y+^R&!g""7WE|",4,$2b$10$VLgjigjSm9KGgaxtzD2j0O4SIuVSnvGIF9WYWLQxjoN.NyO.t93/C,10,85.719
"r#mg+,Im/`lc'C([%:",4,$2b$10$Uqc1HdIF7QbX066ILkHnp.DNoqBRBvu/YSbj9ezY4ZM5Jzx5O60pS,10,62.974
RS:Xz1RMPclK/SV@Rm,4,$2b$10$mpTCOTLJyn1/mZuzf/XyyOreBHO.f5/t8O7gy9sGr7mzS3CJJDSou,10,73.351
"i,_F2^{{+gEDg""`S+%N,}",4,$2b$10$Rn7itCNoMDnrFfoGUhtHnOB9Yby7eoPhEB3z9LkmMck5MUGOEN8g2,10,63.795
kGdj>yuLXD5+d9l=,4,$2b$10$MGK4Jnbe13iOnajoRrRU/ec.8MFsjnq7Tt8pJ07zuz7Ui4/TEIDRq,10,79.637
"+etJ|E:qehEN\N1jU!/\R""p1mV-H",4,$2b$10$Iw7qGbFJZLOAqP/U0TXk9ekrz1LBEhZzfnIQtE9VHIgREvRqmtE0K,10,61.164
"sCXe""5uSQ@Tm#&-z#w",4,$2b$10$I17v41kuKzv2GAWXKWKiAOkyCmfGwgEJaX4B6f2DSN4uu.nlI2Xs6,10,67.623
"5<0W{Z8E/^_hHe""TZmTCHZ",4,$2b$10$kuQIerMLfNnDdp0TKIE55OuvVQYyyHDUpvAvOPS1nxhbGQSQvwZ66,10,66.132
"#a]ui2r73^tJh""?1*Vs]40CLJjj*",4,$2b$10$e/RIXlooDly4QsYC5g2rh.VNK7538NOY3ZaG4zb8nSx4VmwixwT3C,10,69.005
"duBirNI=OOL]""L9x@9+",4,$2b$10$O.fZuJiA9s6dmGvdORrCv.fZWB0Z32EH1JE/Ug4JdKlNJ4tIdNP06,10,77.535
:s)8&t^hCBwi9TCkLzY^^qZh*$?pG,4,$2b$10$v2h8afqPEeWKNWJcYxt75.OuXAy7Y..ol1CWBxjafHbNYqf0QsBe6,10,77.401
"(V.u,)Y[(IDol!IC#Q^k""fgl55wK)'%",4,$2b$10$2qypyR/GWhyjJcZQ0J5DcuO/7Wko6JDJabv2th5Adq8ZwW82mbNLC,10,75.675
z~]wSumi-\XRs}B;m={/p,4,$2b$10$SZus5mS298mP73x99uJnS.B85Iz044jfp/ErPn9BA0xRS8pVBzJmi,10,64.98
Zl6U*\R0-Zqi/zC1X3Yg,4,$2b$10$zXAe0tfPFFkjYWm3cBixleNjyzpWmQzJDZl2Z9hTV3UzFlMn0RBIS,10,61.164
"C%7Ep2UH:L@FIL""W$OjT(",4,$2b$10$pe4hn2GGkdw3UnDlxNOT/eGZE2IxoO0FZaP4Ja/V8tuEGMMNSbteu,10,90.63
JfcH`\j*J[p`11gTHId,4,$2b$10$ah6vG71JEJorVlDTY.PvkO6m4defWORM1at3Y1yzpgWEfg1H5kEB.,10,67.896
"M:,giZ2iO""v|%H9FB(3N(ix^",4,$2b$10$rQtZXOWoQ/c58Undw9SIOOCFjjdGouBx5jCN1YiI7/aqgLIqbVbYG,10,69.699
"A,g9`M'@QZ10/3c|HK",4,$2b$10$McjfJq/lrFA61u88nfRftu.kk1c03J0vg8vHSUGIgFx4yYzxsjWqe,10,73.197
"rH]kc@%JgyV%M.$HNuiPCR_t^Zd'|,_C",4,$2b$10$s7IgLNOl.K0F3jdYGemm2O9ybGgBAx.7KP76QdB9lDAP1ABBXBEAa,10,81.495
";iM$!h(d]i:n~RQ-b6,ql},",4,$2b$10$5El2oKOGvW1t/c5U/wHXD.UcPlICNWP0FAu931J.xmG6P8FeyifXi,10,65.878
"a!>xE""MM'1bQyFW2L~d`8%K[(ho%5",4,$2b$10$tMHyahyVPiJju.OantxdaOrdn15B8EjKHkP6m5/7fx3CuOKfuCyh6,10,69.773
S$'\8Zi\sWn;Q6f!e>peer?j2HA,4,$2b$10$DufCYOVGpaMeqiQfPedxH.yI5Bt71Wv48oYEtxFEB9a9sr294.KMu,10,62.88
1j@_exfVtO/|KY;5f9Dove962U/\E3,4,$2b$10$CIxcjawusMXx0uMRGEMJa.YF59.hKZTfRpF4tim.XvDGK4yejR6Lq,10,62.675
"4}4WgR*kNkFdk6?){H""F&FyF",4,$2b$10$w1eRN.KIs/oieH5fOVuKuuL9Jy3VXU60BuzbClaDJCGLIhr/X.Q1m,10,73.412
"RdC9""LNnx0Q>Q\_/Bq'",4,$2b$10$sTsrXZOSOWO6Ex/Kz8G2ru7ZW/e7TVgkhnJ88M5bTesS1Q2zoRarO,10,64.751
E44DICd2lIW'H>${,4,$2b$10$fiqfEp8gujaU2IPFJQduUul99CkCrAxflu5AettKOBJ.4Av5xb1de,10,69.657
"+gmG>=""i4O%AL=jRcU",4,$2b$10$rOaRlUzKvSB2GY1inwY8wekoLGe7fRJRLN30U7y7bckpOxo6nzEfu,10,76.109
ZLUHk5l+}<gzRGVzS>(sf$K-GiDk;-#,4,$2b$10$fDdzu49FItQy7QnI185UoeruhZ3ynYUsRWCOvVLEmp8aRUw/Q1u3e,10,76.923
{3He;tkNlTnm(5dkY2+`xmL)sX%$p*G,4,$2b$10$Xti66F.9lAh9TrURQTU0uutrHv2D3lJxa86otmDD2yb2KKIY5R3Ue,10,79.129
]SC/~tj0/&:.Dn<LLS)`#N,4,$2b$10$16WNkeTXjCEQ.HxSfrhLTOCS5.QN8sp2WLF2h.vU9blMjCjmgHD8G,10,94.978
"'>rghQtn?\x%]HWteY|Pv:EH31;,G`A",4,$2b$10$.OgOmAtl6nXkxOfXZcL66eg5q4f9Xe9EaA.01hw4qHIo1GU5UEt8u,10,88.921
sGs5HC>5[X_y*q[W3x1K1-?i,4,$2b$10$VGzVkD/tZb9hbYGr93Y9pOpP2uzqpn4IxyYcgai0LNUxpX34a.wIa,10,81.251
"fu,GE9.""D4*\r$<e:y^[r""-2@",4,$2b$10$5Hi3cKCEL0mUXrc8ukxBBugdP5RvzEHJP5yF0zhU0Yk/Uv7mvjrcq,10,81.477
[}Cq|W~4EY<RqipO}-zB7;._K,4,$2b$10$W.qZ.u2l7wzxAbfYeo5BHO99UwCErAvmTp7UVqbgSLrAXfvpOxue2,10,93.992
NZp@bPbFpgXoUof*=9~o,4,$2b$10$aYBJVvbgf4VpeY.8h2ycPeyYwClC6hZ3.vOUe61B2wTPbvXQeLZDm,10,77.512
"0F!9R[I>5$T4?.a5+t""agXLL#{Oper}t",4,$2b$10$zAhW2aYYRvOSP3Vy/teXD.u/xyr6hr0QTqNdMRRzsRrPdPdxUZTwy,10,79.08
=+?8-fFGsZ}L{7)D^K,4,$2b$10$v47KR9IAAXY7OuJCX3uO4equPaLPVIm9n68WyXPnSTEb0iqba1Tra,10,80.254
"B3S""hLAG+*0<0.;B\onyl;I+#-?560}L",4,$2b$10$BmK0tgdCJFiQCLFeAtfoleq4rOhET.SPXba2TOPhtfX9FAMF1ln4q,10,70.472
"A&i,m^YBVQ{E+0^|@8*",4,$2b$10$bN4lFitKWpPJeK5RBZ4zy.YimGEiTbTx.xwTGc1f8UCh/hECk2E7O,10,72.707
"Rl8/X6Yp??j|H;)8xCY{|uA(V=Zq|,l>",4,$2b$10$jBJ.ThtAc0.mGQZLgCJMCuIRKvsG.h9anShzjLrQDFW3WuLFkwtl2,10,77.885
ZE@q1.uBc.ci8FNr#+x#joQ,4,$2b$10$0lT79Cim8aoTJhQF3j5EquAGy.3LDvJIlExJLX29CdoWh4xgSlzw.,10,71.542
K>bpe?^Xe'DNEQ'L,4,$2b$10$DHu1qXEzJvcawj6ty11XgulS9XzYlxtWyzM..CbLGuIr4szCM/EvC,10,65.041
fm[iw#g:1=M8yKN9N.m@F9,4,$2b$10$046/2ox6TUKAuY55303pweADQ2NEUX92g8XJzinbQN0Y4Z3KHkmP2,10,70.276
"C?WlnQbY.]~wH,owb$m7p",4,$2b$10$zXlpi4fg9RfxoUmdBIlyAOKxtJj4u0jlk6zYtHdgFTHPXH4Iry1v2,10,64.018
"Dr.^~y~48,31.-|'AE{4),7kq",4,$2b$10$BHS8iUnUOCxGzznHQM3CF.wwcEcsAdDkq9u5MBboqds8CG/Gfg0v.,10,68.112
\b%-lIqgFD\Es`.4GEk(Y#,4,$2b$10$72rf/ZI6Ljqf8Dz1AG7lLeEzLhLT6xF5dJc6dlQATZjz9kwteJgPO,10,67.79
"G*C#G=W2wT,k;P)mOY""%Z`WrM",4,$2b$10$WC12RaHBa/uW6JqjOJNDz.1I14AfInas/t0TJIkWHwyBRXSTDn742,10,63.761
";7]y#f#&6bnN>%x9pz@%8,9",4,$2b$10$dmgZAyxcnMWFXisqV/S2du.UAet9D7IsBhgpyzV43qqPrlgf65cOy,10,65.911
"-,|2M$zYZe<*^_+t|aGtbu",4,$2b$10$KsW9mMzda8zLDN.ZVBAs/uRh.UhPVMmRFa1WeO8gdXWBgM8IJ8Qwy,10,70.016
DR'^q40x3N~FDkvg:.{vc?P,4,$2b$10$2V14MFi1fYeXInqRUEz20e2olZtL61XIvxPfgtxfq17Iy8PKU8gc2,10,68.892
sM(ivl6YE%8[imTDaz<~:3zhcNEsC(T1,4,$2b$10$ybMQI8/6Ev1FcrX9.QvqPO0NWW08lbVt1QXVy.dEb0zFKonrOn1B.,10,69.514
GRyO~>L1K}{;P)6`ZHAs=P,4,$2b$10$Gsy.tFjwg63k60.T2izV6OCVfp5jkX7LoMiFOIKhQB1iZnFV2C6.i,10,68.123
"qB,J6Mi:ph!_?;Jy'KMk@y?MJ'JM4_",4,$2b$10$liRuQDy21TxmWmxLkB2QA.snEKPpkiNwVmbUYOk4gIH8jGDcYDiZG,10,80.814
"j6~<ZX}V))G&;Pta$o,]^l}Uo",4,$2b$10$4hlbxYadAXj0DSpGR5wXnuPLkdHb1uo0w6dxguJMQuxIBsGduWECK,10,80.841
~:X.uy^\~KA)1uvgwfp,4,$2b$10$8jiQq0uPt/rAv1YDyf3xm.rncXkSGB8qdZgbGLU.rIWLECdHBrtzS,10,66.331
9!oKZ=g>\N9GnG:AUl,4,$2b$10$Ne0I0nIAfAieNnPX6Iq5..BWyhBIeaSRqDz7HOeSt7mWqZSZJcVEm,10,66.25
"E~s,FJ*ku""[bTj,GNv<",4,$2b$10$z9qj4R/0q7UMCClEN8.40O5H8be51sm92zAM5cPW427ZBDkL0Hv9K,10,74.067
"""DJ.wqC@=>[fSOz^v.QTe0xDPSm",4,$2b$10$TRK2hSMmZOR7imsMZWsmdOaugB3HFdn7jMj2AxsxYHaBt0ZjkDRhC,10,63.905
#VE7i2P7jav%2z95.B,4,$2b$10$f6a3OFSBhCrzG7Ckp3aRHennuvYpmjZ3y.l3RaS18BQQdX4o32KC6,10,71.011
{Kqz7t`>Yzg1mG\E8IrKiN3!`E;^8L#,4,$2b$10$RpkI46L5uMCyqJAEPSmV1OVLZbBsqG9wm.Fd9sNItVkXtDw.BZlte,10,76.47
pId8[p85.'9Tc.A=BJ,4,$2b$10$kf1jkKJlYrl6Dlh6y6wexOafMRxnTVWT7GTHHJH2aj/fAdj62AooS,10,72.452
RM<G><t_2q8|:@Hhz]BMQ4C,4,$2b$10$yjezkeI2RHC51.GZ97BCf.TzhzMgm5smjdxMh0Tz75DK072o/oWU6,10,69.76
@r0=w'xVppTm0PGrdA4|Pd&5t,4,$2b$10$Onu7BZXhu7P1tkpFEmcNAOlaOGl.2AjrxPocB6NXc4kRebIYJdIxq,10,65.451
/9J]W/*78*jFp&b>`n/Kh,4,$2b$10$UIEyyuV7oog726B5dRcUoeU4PYjUfRXlepuiw85st1Pg7tXYaBr8i,10,64.52
(Q]/i%Tk>?z(X8D4ajr4M;^g@S\5U!sJ,4,$2b$10$dVXc.4kjtLZ0q.cYaDX3zeBAj1H./l7HX5wyHeEYIYXlQSHjNpXUq,10,64.389
a!En{7_zu>`Bd>VgJ^hY$A,4,$2b$10$06tObJaAzLUQepypzVuKqeSuXdwfH1jekEJlMUDDkVNUm4Pcojfty,10,64.916
`5+MToZ=#a8VH_Xe_Hx$1Y;Y4vG,4,$2b$10$8bbMYAzyguyjW/Cn0Z2H6.xhphWpp37Hj0udwZt5zg0UMkXDb4M4i,10,67.913
"cZ^`@ojCc>_3,BR]",4,$2b$10$Gb9JNA4XLxIaZ0rO5A27W.cb9c4COhWdtU2cctc9SvUXbcbIzID2y,10,74.175
"CV2KrmaV|,(E7;Y/f\wS\2WHLA",4,$2b$10$DeXQF/c9kLozVadDHZWR/uaHu2cH.XdPSdK0RKmzYBzU8bjWaiFte,10,67.489
V$::$vlz7s[5|<roU,4,$2b$10$1i/M6OvcfPZXSKYkcO3saOKBhhEUE7mn4IAszCCZ9CcrW3i4e9yea,10,67.881
GEwg&j55gOu5r.2{s,4,$2b$10$toZ88nscJXC.3MHGOgR/1.qDxQCeg4waNpiuqo5.0S00X0ynU5OXG,10,69.154
(3&~^+;JmT+#6[oPrW,4,$2b$10$Zk4lBEIdUpEGv3iCRPA27e/F/MNJJGqAXBICq4ETkX3qTNtrZTHYu,10,65.518
Doz[rPGu2F?>_~D:qs/tCKA,4,$2b$10$hhoQRMGlvZeA7U6viH6t6.jHqMygMysY7bMFWBSrYaAfJ/vs0bE5u,10,67.677
"^I8rx\8yvy}""19pIQ6'l""{W~mP",4,$2b$10$RZpyWW28NHGPlq5NcU4OWu7T4U34lTW4.xSX2f/QVkW57ykGpit8a,10,64.645
0xcdWDth*iworU8u&cM2fN,4,$2b$10$8gvDVNtFrqENKfUJrMzefeKoG33fTx/KHcKGezGyhTmaNL/yDfary,10,67.628
5~YO}~Ep;zyt%=kjg,4,$2b$10$ttlow60zTDegvk3zKS3rse0smKkjEolg4OC5PUcwB65q1rcUCdRBG,10,65.457
hlt/T%TNd6sN&0+b\{!,4,$2b$10$82CmzSehh5d0NaZ/Z0KU5Oi5KFA7yXIRWk74030hg1mzDBd5WSQ7W,10,68.222
WWlSJD?)SP>ri]+0!lN}QC0&84k:5b]#,4,$2b$10$/xm5g5ARnR1MTJMBhWxaTONX.ADgJzqNs2vmNvZMVSYas4pNVbo2W,10,64.549
Y]i9j$;QVV]6X<UzIZO7,4,$2b$10$t5yNzlgiHN36DtHHGaNZ8OvmTgty2ElVupIZ16aLnauA0OI9/UAdq,10,67.571
"SFo`H*3$HSof""9[6\",4,$2b$10$A7B9Hl.mSt6kc5Xub.MzQO6NxulLsTsqOV2Zm3QSG7f84gOxhR9wu,10,65.249
\hAwvycbPE|\b=p.sy,4,$2b$10$EMiFzHK7ovzD9plVANT2W.wFONzxxUxDKp0W6oOgetc/tjuA5m86m,10,67.777
"vhAUZi6y:N`8k""""2<{O",4,$2b$10$cUjMSwyN3bdTRMz89DGDG.dDb7JqT.O.Js87oxgqRwQDSIT1rS3t2,10,66.748
")3fwE?f*zM&px>@G5`H]8V'!""OR",4,$2b$10$hZZ8mbNUO6Wj/J1BR7GHnuii5rdbC1Oqv.YnHDIBSBJMDfS9WzKKa,10,66.505
K\1[;Q4r'HhAZ!5LM,4,$2b$10$Q2dP7ngkDBkUCKXsp7N4Q.gl3Xc2FXFfsIgyXgh/9Soz5kzCur9IO,10,69.175
q'}JJA%+L=0.MhB1~)23II,4,$2b$10$eAS9gEyA11AAESGO3nRMfu6h.X8tfNeVu72gL88D4SEziigp0gtFy,10,64.273
")rf[b6\]i9ICo1Z:y_.y>@;&VX""$2",4,$2b$10$bQhyKKgIqhAKdwaXzlGkS.5AhqH/yFmhB.vFQfrvG2xdtxCCBHJsq,10,65.007
751u^5bb(HUG_Aof,4,$2b$10$wWNavxAX6H1ciA04JTaY8evhMcYe18Uf.0/yEDDZQbACMHcOS4E3e,10,64.582
"C#|+_c(,7ms7Wz.3;1<<1Ez|7@QI+=G",4,$2b$10$arfAA5Wsc8bEHJ3y4KhuAurAauyPKUDUxR9Y.08kdwrDEzichUn66,10,67.391
"&80Af""|,Wt7woMdbDqh8nos:,`VS",4,$2b$10$nno1f0i3kqwlMyzshG25CeHt.IRfGmTd64dbsobkSDgzcfwSwdk76,10,73.132
h67|ykyN]PxAK!_d.`}SaagyG'v!$?;-,4,$2b$10$cigjwhtzI.6tvPcZqEjAVu7Ym8/W3BBR6vKIYXFEF2fXhHxYTplzW,10,65.819
"bmHaB)E5^4Nt7%{,lG|",4,$2b$10$YgI3j9QAEiaHiCDcYvdkrugKEfoHbZeuhH8aQouEszDztQiSbYHP.,10,68.486
"~SMem&HRx~.$0rHZ%as,l0t&X7M09`",4,$2b$10$JXsMNVb.38dirxLMsqK9bO0xYrFDO.Qn6tro7vSEP/5.ne7as8kjC,10,68.887
vu=iyn:nu6$vCdkg3WQ(~RVx@FgzC$$,4,$2b$10$dV1F89UC2QkVfrhxPkRj3OaqyTgBh52aefLeG4zlngNVHj0KnfJ/u,10,72.73
6m^OcH~.c&[8ZJ.y|A|TH,4,$2b$10$xT9ZriareiVWfGUVpV1hgOs.rKObARzy/Tk4SwvWJSlvDos87fpKy,10,73.011
"Mfeh8`<cpR{L1Dz!b,(e4\imy.d",4,$2b$10$loHfdLDDYIqVeCRsrUUnWOH02KaEaFqP9ZkmIMxwqAmU8XAiXPT4W,10,68.858
yt*ezkEEF4A=f=LQ5XAbd1xlrm7(=X,4,$2b$10$/WsVOsn1ND9SnxOX0.OG9uhdNwdOt2HWj1P3Sc8hTKFKGf1OjryYW,10,61.176
+wT&ZyKXVx<*E~/91+e0a,4,$2b$10$54517znCBI1HePY71XIV5u29l5rFg1hx9R7iNVtl7zr2DVN4Talgy,10,74.116
"{uwY4Xp_-8tN$,L|4",4,$2b$10$3YkbkXFoUhNqnqO8.keoguyDK18y7QCsHAuk0vZNBGwJe42FD24uy,10,74.33
(]@MZkuq02hR']hru,4,$2b$10$hX8.jobTOAvdQ9IFw2dcR.LUoCetz5duxZSoE9vBAqjYs3ryJ/Dqq,10,81.437
"vR`fefPJ5FKm))Wa[Wq|,R7J",4,$2b$10$nNpQWB2ebgQ/7PB0JXTcAuGfKKLGzk9YL5TEF155EDVOk5p9xYLA6,10,77.688
"FyV,t32OSh'kYbD/bC/5$sa&>%",4,$2b$10$cLZ0NF0NgL44ASe3.py47eCMteWxS8FIfJPmqjktAdCNlh5yOVaFK,10,78.051
cT&+DyAwflPH:W?#p}\t1,4,$2b$10$VGXZJ4pbCzYxUJnCcgCXme8j.67CbXL11gSWHKVVyOoKsYKcb3CGe,10,68.291
"|R>ViN'e|4@K'sEG}X*'x$|I""v8",4,$2b$10$VDcF8DShUWjU4/aj.35AC.LH67ug.G7Mvr.CuwNxphm3T28HdXc3q,10,68.853
"L9lVF=lUsmvcLfs2""f=""O,Zp",4,$2b$10$huQZ5qaZej24PTP3RE1nvuSuMI0sGk7o5YMH3/BezsyoDN87LY.Yy,10,65.869
"4nA,7?e+''R&[1ff?V.rA7?S",4,$2b$10$Ruv4ylqVmGUoPb6IhManPu1UY8VVPL1gxZeHxj6Og/2lQCeSSp3Gi,10,61.608
